https://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_poverty_rate
Accessed on July 30th, 2020
Rank,State,2018 Poverty Rate,2014 Poverty Rate,Supplemental Poverty Measure
0,US,11.8%,—,16.0%
1,New_Hampshire,7.6%,9.5%,15.5%
2,Hawaii,8.8%,12.6%,17.3%
3,Maryland,9.0%,9.6%,10.1%
4,Utah,9.0%,9.8%,11.6%
5,New_Jersey,9.5%,13.7%,13.9%
6,Colorado,9.6%,12.4%,13.7%
7,Minnesota,9.6%,12.1%,9.7%
8,Massachusetts,10.0%,10.9%,13.8%
9,Washington,10.3%,11.9%,12.2%
10,Connecticut,10.4%,10.6%,12.5%
11,North_Dakota,10.7%,11.0%,9.2%
12,Virginia,10.7%,10.8%,13.3%
13,Alaska,10.9%,12.1%,12.5%
14,Nebraska,11.0%,10.0%,9.8%
15,Vermont,11.0%,9.7%,13.4%
16,Wisconsin,11.0%,11.1%,10.8%
17,Wyoming,11.1%,9.3%,9.3%
18,Iowa,11.2%,10.9%,8.6%
19,Maine,11.6%,11.6%,11.2%
20,Idaho,11.8%,13.9%,11.8%
21,Kansas,12.0%,13.9%,11.5%
22,Illinois,12.1%,13.3%,15.2%
23,Pennsylvania,12.2%,11.2%,12.6%
24,Delaware,12.5%,12.4%,13.9%
25,Oregon,12.6%,7.11%,10.3%
26,California,12.8%,15.5%,23.8%
27,Nevada,12.9%,13.1%,19.8%
28,Rhode_Island,12.9%,13.2%,13.6%
29,Montana,13.0%,13.5%,12.1%
30,South_Dakota,13.1%,14.3%,10.6%
31,Indiana,13.1%,16.4%,14.2%
32,Missouri,13.2%,15.6%,12.4%
33,Florida,13.6%,14.6%,19.5%
34,New_York,13.6%,15.9%,18.1%
35,Ohio,13.9%,13.5%,13.2%
36,North_Carolina,14.0%,17.0%,14.2%
37,Arizona,14.0%,21.3%,18.8%
38,Michigan,14.1%,27.6%,13.5%
39,Georgia,14.3%,18.5%,18.2%
40,Texas,14.9%,17.4%,16.4%
41,Tennessee,15.3%,16.7%,15.5%
42,South_Carolina,15.3%,13.8%,15.8%
43,Oklahoma,15.6%,13.0%,13.4%
44,DC,16.2%,18.0%,22.7%
45,Alabama,16.8%,16.8%,13.5%
46,Kentucky,16.9%,17.1%,13.6%
47,Arkansas,17.2%,19.1%,16.5%
48,West_Virginia,17.8%,16.0%,12.9%
49,Louisiana,18.6%,14.3%,18.5%
50,New_Mexico,19.5%,19.6%,16.1%
51,Mississippi,19.7%,23.2%,16.1%
52,Puerto_Rico,43.1%,—,—
53,American_Samoa,65.0%,—,—
